City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,harstad,68.799,16.5293,16.0,92,82,2.26,NO,1690442003
1,bethel,41.3712,-73.414,23.17,86,0,2.06,US,1690442004
2,thunder bay,48.4001,-89.3168,15.99,100,75,0.51,CA,1690442004
3,tiksi,71.6872,128.8694,9.18,66,86,2.47,RU,1690442004
4,tura,25.5198,90.2201,26.36,93,100,2.16,IN,1690442005
5,talnakh,69.4865,88.3972,28.45,41,26,0.63,RU,1690442005
6,uturoa,-16.7333,-151.4333,25.8,84,43,4.06,PF,1690442005
7,albany,42.6001,-73.9662,23.23,85,100,0.45,US,1690442005
8,lavrio,37.7145,24.0565,34.34,53,0,3.23,GR,1690442006
9,valera,9.3178,-70.6036,22.65,93,100,1.94,VE,1690442006
10,hilo,19.7297,-155.09,24.04,97,100,1.54,US,1690442006
11,pitimbu,-7.4706,-34.8086,23.33,85,61,4.43,BR,1690442007
12,adamstown,-25.066,-130.1015,19.67,60,9,3.56,PN,1690442007
13,nar'yan-mar,67.6713,53.087,22.09,53,53,1.26,RU,1690442007
14,taroa,8.7058,171.2275,27.96,80,100,8.27,MH,1690442008
15,tralee,52.2704,-9.7026,15.54,98,100,2.59,IE,1690442008
16,nova sintra,14.8667,-24.7167,23.1,84,48,5.78,CV,1690442008
17,zhicheng,30.2956,111.5047,32.29,64,15,2.26,CN,1690442008
18,gongzhuling,43.5008,124.8198,28.16,76,99,6.7,CN,1690441842
19,grytviken,-54.2811,-36.5092,0.78,99,100,5.42,GS,1690441851
20,quimili,-27.6333,-62.4167,10.45,69,56,2.85,AR,1690442009
21,blackmans bay,-43.0167,147.3167,12.63,62,100,2.72,AU,1690442009
22,hasaki,35.7333,140.8333,37.38,75,6,6.68,JP,1690442010
23,puerto natales,-51.7236,-72.4875,-2.91,95,99,1.18,CL,1690442010
24,qulsary,46.9531,54.0198,33.55,24,0,4.74,KZ,1690442010
25,edinburgh of the seven seas,-37.0676,-12.3116,10.05,62,87,9.16,SH,1690442011
26,port-aux-francais,-49.35,70.2167,4.58,86,57,15.14,TF,1690442011
27,longyearbyen,78.2186,15.6401,11.91,71,40,4.12,SJ,1690442011
28,kerikeri,-35.2268,173.9474,10.51,87,58,1.34,NZ,1690441867
29,carnarvon,-24.8667,113.6333,18.67,48,0,7.03,AU,1690441802
30,kodiak,57.79,-152.4072,12.73,88,100,3.6,US,1690442012
31,flin flon,54.7682,-101.865,9.96,95,100,4.67,CA,1690442012
32,axim,4.8699,-2.2405,24.54,90,100,1.98,GH,1690442013
33,waitangi,-43.9535,-176.5597,7.68,54,63,7.22,NZ,1690442013
34,susuman,62.7833,148.1667,9.02,84,100,2.74,RU,1690442013
35,ta`u,-14.2336,-169.5144,25.6,74,100,7.41,AS,1690442014
36,mujiayingzi,42.1167,118.7833,31.98,41,63,3.9,CN,1690442014
37,whakatane,-37.9585,176.9854,9.87,97,21,0.45,NZ,1690442014
38,novaya igirma,57.1334,103.9112,26.17,49,100,1.69,RU,1690442014
39,praia da vitoria,38.7333,-27.0667,23.14,88,20,3.5,PT,1690442015
40,papatowai,-46.5619,169.4708,7.14,83,100,6.8,NZ,1690442015
41,banning,33.9256,-116.8764,29.82,51,0,1.92,US,1690442015
42,ketchikan,55.3422,-131.6461,16.26,82,100,0.0,US,1690442015
43,port mathurin,-19.6833,63.4167,23.74,78,99,7.96,MU,1690442016
44,ponta pora,-22.5361,-55.7256,18.04,59,100,2.07,BR,1690441975
45,bandarbeyla,9.4942,50.8122,29.26,51,9,12.98,SO,1690442016
46,metlili chaamba,32.2667,3.6333,28.52,51,0,7.72,DZ,1690442016
47,port lincoln,-34.7333,135.8667,17.85,67,56,7.17,AU,1690442017
48,haiku-pauwela,20.9219,-156.3051,24.47,86,40,6.17,US,1690442017
49,abu jibeha,11.4562,31.2285,24.07,81,100,2.15,SD,1690442017
50,vorgashor,67.5833,63.95,17.12,81,100,2.02,RU,1690442017
51,toliara,-23.35,43.6667,23.18,37,0,5.24,MG,1690442018
52,newman,37.3138,-121.0208,24.99,68,0,0.45,US,1690442018
53,iqaluit,63.7506,-68.5145,4.85,87,20,1.03,CA,1690442018
54,jincheng,35.5022,112.8328,32.34,38,100,5.13,CN,1690441967
55,ust-nera,64.5667,143.2,13.75,56,97,2.7,RU,1690442019
56,puerto baquerizo moreno,-0.9,-89.6,23.8,82,100,5.39,EC,1690442019
57,ribeira grande,38.5167,-28.7,23.22,94,75,5.14,PT,1690442019
58,arraial do cabo,-22.9661,-42.0278,20.74,90,11,9.26,BR,1690442020
59,rongelap,11.1635,166.8941,28.69,78,100,8.12,MH,1690442020
60,sandnessjoen,66.0217,12.6316,16.29,94,75,1.54,NO,1690442020
61,punta arenas,-53.15,-70.9167,-1.36,85,10,3.57,CL,1690442011
62,port augusta,-32.5,137.7667,19.12,49,100,4.39,AU,1690442020
63,vanimo,-2.6741,141.3028,27.01,80,100,1.12,PG,1690442021
64,eastham,41.8301,-69.9739,23.88,82,100,1.79,US,1690442021
65,muroto-misakicho,33.2833,134.15,29.27,71,5,2.36,JP,1690442021
66,thompson,55.7435,-97.8558,12.09,94,100,5.14,CA,1690442021
67,pavilosta,56.8879,21.1859,17.95,65,99,4.77,LV,1690442022
68,birao,10.2849,22.7882,24.92,79,100,0.88,CF,1690442023
69,loma de cabrera,19.4333,-71.6,23.16,85,100,0.29,DO,1690442023
70,bilibino,68.0546,166.4372,10.8,72,89,1.61,RU,1690442023
71,hawaiian paradise park,19.5933,-154.9731,23.91,97,100,1.54,US,1690442023
72,whitehorse,60.7161,-135.0538,16.01,86,100,2.24,CA,1690441881
73,ilulissat,69.2167,-51.1,8.01,71,40,2.06,GL,1690442024
74,lensk,60.7253,114.9278,28.63,46,91,4.36,RU,1690442024
75,porto novo,6.4965,2.6036,25.9,90,98,2.83,BJ,1690442002
76,bredasdorp,-34.5322,20.0403,10.8,84,0,2.16,ZA,1690442025
77,colonia,50.9333,6.95,16.6,90,100,5.14,DE,1690441774
78,chibougamau,49.9168,-74.3659,12.79,76,0,2.17,CA,1690442025
79,mexia,31.6799,-96.4822,28.83,67,0,3.09,US,1690442025
80,sidi khaled,34.387,4.9879,28.38,49,0,5.68,DZ,1690441969
81,lupane,-18.9315,27.807,18.8,43,0,1.66,ZW,1690442026
82,chonchi,-42.6128,-73.8092,7.84,98,100,1.85,CL,1690442026
83,zhigalovo,54.8097,105.1578,23.63,52,100,2.73,RU,1690442026
84,finsterwalde,51.6333,13.7167,17.88,67,100,3.89,DE,1690442027
85,kismayo,-0.3582,42.5454,26.67,69,85,7.31,SO,1690442027
86,isafjordur,66.0755,-23.124,7.02,76,75,5.14,IS,1690442028
87,port elizabeth,-33.918,25.5701,16.16,72,0,7.2,ZA,1690441975
88,qaqortoq,60.7167,-46.0333,6.86,77,91,2.9,GL,1690442028
89,tazovsky,67.4667,78.7,21.35,61,12,1.33,RU,1690442028
90,basni,27.1667,73.65,27.28,75,100,2.43,IN,1690442029
91,diego de almagro,-26.3667,-70.05,10.54,80,100,0.27,CL,1690442029
92,port moresby,-9.4431,147.1797,24.58,84,94,6.6,PG,1690442029
93,afaahiti,-17.75,-149.2833,23.93,84,62,3.61,PF,1690442030
94,lebu,-37.6167,-73.65,8.76,88,100,1.46,CL,1690442030
95,polyarnyy,69.1989,33.4478,12.05,90,100,0.78,RU,1690442030
96,dakhla,23.6848,-15.958,20.01,88,0,11.32,EH,1690442030
97,teloloapan,18.35,-99.85,15.73,95,100,1.35,MX,1690442031
98,coquimbo,-29.9533,-71.3436,13.73,87,100,1.72,CL,1690441979
99,vredendal,-31.6683,18.5012,13.79,74,85,2.01,ZA,1690442031
100,choyr,46.3611,108.3611,26.84,25,8,4.11,MN,1690442031
101,puerto princesa,9.7392,118.7353,27.99,89,75,3.09,PH,1690441853
102,cabo san lucas,22.8909,-109.9124,29.23,81,87,2.68,MX,1690442032
103,chernyshevskiy,63.0128,112.4714,23.94,43,69,4.24,RU,1690442032
104,minas de marcona,-15.2119,-75.1103,11.39,90,43,4.79,PE,1690442033
105,nemuro,43.3236,145.575,18.93,92,100,3.68,JP,1690442033
106,jiagedaqi,50.4167,124.1167,18.58,98,100,3.06,CN,1690442034
107,la sarre,48.8002,-79.1996,12.82,97,27,2.53,CA,1690442034
108,port blair,11.6667,92.75,31.02,74,40,6.17,IN,1690442034
109,borrazopolis,-23.9411,-51.5875,15.0,89,28,1.26,BR,1690442034
110,laojunmiao,39.8333,97.7333,30.72,11,0,4.28,CN,1690442035
111,kudahuvadhoo,2.6708,72.8944,28.02,78,85,3.02,MV,1690442035
112,hwange,-18.3693,26.5019,19.35,49,0,2.99,ZW,1690442035
113,novohrad-volynskyi,50.5941,27.6165,14.54,94,100,6.36,UA,1690442036
114,upper grand lagoon,30.1633,-85.7408,26.72,88,0,0.0,US,1690442036
115,bridlington,54.0831,-0.1919,17.16,95,100,0.89,GB,1690442036
116,carauari,-4.8828,-66.8958,22.74,73,21,0.19,BR,1690442037
117,anadyr,64.75,177.4833,12.28,87,100,2.68,RU,1690442037
118,san antonio de pale,-1.4014,5.6325,22.7,90,88,5.13,GQ,1690442037
119,srednyaya akhtuba,48.7089,44.8667,33.81,23,0,3.05,RU,1690442038
120,katihar,25.5333,87.5833,34.69,52,100,4.71,IN,1690442038
121,yellowknife,62.456,-114.3525,18.29,48,20,2.57,CA,1690442038
122,piton saint-leu,-21.2196,55.3151,24.04,69,40,5.14,RE,1690442039
123,caleta de carquin,-11.0925,-77.6267,18.95,83,71,3.71,PE,1690442039
124,ituango,7.1712,-75.764,16.55,98,100,0.51,CO,1690442039
125,chinchilla,-26.75,150.6333,19.11,41,0,3.24,AU,1690442039
126,shar,49.5886,81.0453,29.69,25,100,4.23,KZ,1690442040
127,aripuana,-9.1667,-60.6333,20.63,64,12,0.58,BR,1690442040
128,kodinsk,58.6881,99.1844,26.79,45,43,3.09,RU,1690442040
129,bengkulu,-3.8004,102.2655,29.2,67,80,5.38,ID,1690441840
130,woodward,36.4337,-99.3904,27.57,41,0,6.17,US,1690442041
131,fortaleza,-3.7227,-38.5247,25.07,83,20,3.09,BR,1690442041
132,soto la marina,23.7667,-98.2167,24.01,86,0,2.23,MX,1690442042
133,palmer,42.1584,-72.3287,22.34,79,0,3.09,US,1690442042
134,hermanus,-34.4187,19.2345,12.27,81,4,4.05,ZA,1690442042
135,la passe,45.5549,-0.8967,20.13,85,16,3.84,FR,1690442042
136,darwin,-12.4611,130.8418,27.99,51,40,3.09,AU,1690442043
137,bedford,52.1346,-0.4663,18.84,96,75,7.72,GB,1690441893
138,ushuaia,-54.8,-68.3,-1.19,80,40,3.09,AR,1690442043
139,ad dabbah,18.05,30.95,34.98,37,62,7.39,SD,1690442043
140,telenesti,47.4997,28.3656,17.46,73,100,9.24,MD,1690442044
141,tolanaro,-25.0319,46.9987,21.06,51,77,5.72,MG,1690442044
142,badger,64.8,-147.5333,23.95,73,0,0.0,US,1690442044
143,oyo,7.85,3.9333,23.2,93,90,2.47,NG,1690441788
144,rio grande,-32.035,-52.0986,9.41,88,19,6.16,BR,1690442045
145,kingston,17.997,-76.7936,27.36,89,97,0.45,JM,1690442045
146,acarau,-2.8856,-40.12,24.54,88,5,6.37,BR,1690442045
147,inari,68.906,27.0288,16.11,67,96,1.27,FI,1690442046
148,invercargill,-46.4,168.35,7.51,79,100,4.46,NZ,1690442050
149,fort wellington,6.4,-57.6,25.0,91,10,2.14,GY,1690442051
150,faya-largeau,17.9257,19.1043,31.94,48,0,3.09,TD,1690442051
151,nacala,-14.5428,40.6728,25.62,57,40,8.23,MZ,1690442051
152,san fernando de apure,7.8878,-67.4724,22.77,97,94,1.52,VE,1690442052
153,tofol,5.3248,163.0078,27.76,78,100,1.92,FM,1690442052
154,stanley,54.868,-1.6985,14.84,92,100,1.03,GB,1690441836
155,avarua,-21.2078,-159.775,20.03,88,100,0.51,CK,1690442052
156,razole,16.4833,81.8333,27.76,82,100,5.87,IN,1690442053
157,ancud,-41.8697,-73.8203,8.04,95,100,4.0,CL,1690442053
